#{"t_start": 1773698179.852567, "env_id": "None"}
r,l,t
-103.0,200,1.873633
-99.0,200,1.971217
-121.0,200,2.077187
-117.0,200,2.172993
-113.0,200,2.280983
-119.0,200,2.388074
-124.0,200,2.486286
-92.0,200,2.585696
-98.0,200,2.690574
-85.0,200,2.789826
-101.0,200,2.891262
-112.0,200,2.988007
-127.0,200,3.091538
-102.0,200,3.18947
-124.0,200,3.289186
-91.0,200,3.390582
-100.0,200,3.505874
-76.0,200,3.611053
-37.8,180,3.701151
-131.0,200,3.804532
-95.0,200,3.915314
-122.0,200,4.017301
-121.0,200,4.117772
-100.0,200,4.221353
-109.0,200,4.346779
-120.0,200,4.452763
-102.0,200,4.557564
-111.0,200,4.659269
-114.0,200,4.770218
-101.0,200,4.876753
-106.0,200,4.976225
-79.0,200,5.08462
-87.0,200,5.209898
-114.0,200,5.330238
-90.0,200,5.440533
-84.0,200,5.551253
-73.0,200,5.69947
-106.0,200,5.833506
-105.0,200,5.98345
-94.0,200,6.110589
-48.0,200,6.26128
-136.0,200,6.398844
-109.0,200,6.527222
-34.0,200,6.652324
-95.0,200,6.784117
-95.0,200,6.903127
-125.0,200,7.008686
-100.0,200,7.116896
-82.0,200,7.232262
-108.0,200,7.354737
-128.0,200,7.499561
-110.0,200,7.609507
-124.0,200,7.722399
-118.0,200,7.832622
-63.0,200,7.943034
-128.0,200,8.06
-99.0,200,8.174882
-71.0,200,8.286296
-108.0,200,8.398843
-107.0,200,8.507829
-103.0,200,8.624789
-122.0,200,8.740318
-101.0,200,8.86859
-110.0,200,8.999316
-86.0,200,9.125248
-93.0,200,9.234557
-106.0,200,9.360478
43.41,59,9.401187
-118.0,200,9.539935
-129.0,200,9.672925
-30.0,200,9.805566
-118.0,200,9.932678
-128.0,200,10.049895
-111.0,200,10.152873
-129.0,200,10.258801
-88.0,200,10.370623
-118.0,200,10.488418
-84.0,200,10.617844
-99.0,200,10.750927
-107.0,200,10.90454
-99.0,200,11.06586
-128.0,200,11.218656
-120.0,200,11.37844
-112.0,200,11.518946
-45.0,200,11.645724
-115.0,200,11.767404
-34.0,200,11.879897
-118.0,200,11.992821
-106.0,200,12.113808
-82.0,200,12.231616
-82.0,200,12.355638
-92.0,200,12.475876
-118.0,200,12.603093
-78.0,200,12.723989
-135.0,200,12.843658
-93.0,200,12.958367
-102.0,200,13.076773
-125.0,200,13.189329
-106.0,200,13.304973
-116.0,200,13.423919
-119.0,200,13.549295
-125.0,200,13.677961
-104.0,200,13.801567
-110.0,200,13.925042
-75.0,200,14.060692
-96.0,200,14.186441
-95.0,200,14.31081
-117.0,200,14.43795
-103.0,200,14.567019
-101.0,200,14.689321
-101.0,200,14.816371
-81.0,200,14.934824
-92.0,200,15.07506
-112.0,200,15.200748
-102.0,200,15.33049
-95.0,200,15.458545
-109.0,200,15.59199
-116.0,200,15.721541
-90.0,200,15.848517
-122.0,200,15.967066
-128.0,200,16.102252
-74.0,200,16.242739
-99.0,200,16.368435
-90.0,200,16.635095
-92.0,200,16.768378
-101.0,200,16.89377
-117.0,200,17.017947
-126.0,200,17.140782
-102.0,200,17.271796
-92.0,200,17.400181
-91.0,200,17.525463
-120.0,200,17.64314
-101.0,200,17.77276
-25.0,200,17.896895
-113.0,200,18.019223
-122.0,200,18.150481
-101.0,200,18.292731
-35.0,200,18.422781
-110.0,200,18.548154
-91.0,200,18.67265
-82.0,200,18.810106
-118.0,200,18.930785
-96.0,200,19.049732
-112.0,200,19.180211
-11.32,132,19.268392
-124.0,200,19.385419
-89.0,200,19.500576
-92.0,200,19.61744
-90.0,200,19.738835
-29.78,178,19.842507
-84.0,200,19.954836
-88.0,200,20.071742
28.05,95,20.132098
-94.0,200,20.245985
-82.0,200,20.367094
-93.0,200,20.481877
-78.0,200,20.604291
-117.0,200,20.720864
-64.0,200,20.838419
-117.0,200,20.953322
-61.93,193,21.072441
-103.0,200,21.186643
-123.0,200,21.300283
-97.0,200,21.416426
-101.0,200,21.540424
-105.0,200,21.655044
-94.0,200,21.77346
-106.0,200,21.887808
-97.0,200,22.010625
-79.0,200,22.123502
-65.0,200,22.236629
-22.0,200,22.353489
-99.0,200,22.475761
22.22,78,22.520492
-129.0,200,22.63537
-82.0,200,22.750068
-98.0,200,22.890032
-100.0,200,23.012864
-130.0,200,23.139091
-28.0,200,23.255736
-74.0,200,23.383014
-105.0,200,23.501137
-103.0,200,23.616333
-90.0,200,23.727589
-101.0,200,23.852659
-33.0,200,23.968181
-108.0,200,24.084487
-108.0,200,24.200804
-109.0,200,24.322053
-90.0,200,24.438146
-87.0,200,24.556817
-98.0,200,24.673108
-122.0,200,24.800051
-110.0,200,24.91589
-91.0,200,25.030857
-79.0,200,25.147259
-8.0,200,25.269525
-121.0,200,25.386324
-92.0,200,25.500095
-106.0,200,25.615902
-91.0,200,25.739035
-89.0,200,25.857751
-88.0,200,25.974673
54.67,33,25.994171
-114.0,200,26.115944
-79.0,200,26.232251
-109.0,200,26.361827
-89.0,200,26.479423
-122.0,200,26.601743
-123.0,200,26.718348
-100.0,200,26.834051
-120.0,200,26.949536
-75.0,200,27.074781
-85.0,200,27.190254
-107.0,200,27.330256
-133.0,200,27.496405
-102.0,200,27.649273
-64.0,200,27.782947
-17.43,143,27.893275
-79.0,200,28.019478
-94.0,200,28.148482
-93.0,200,28.390115
-81.0,200,28.509505
-62.0,200,28.631814
-109.0,200,28.76068
-95.0,200,28.886905
-100.0,200,29.008942
-97.0,200,29.13432
-139.0,200,29.274362
-114.0,200,29.408054
-68.0,200,29.527788
-132.0,200,29.641287
-123.0,200,29.762979
-34.92,192,29.880425
-102.0,200,30.006331
-119.0,200,30.122609
-86.0,200,30.259693
-96.0,200,30.379242
-102.0,200,30.501517
-123.0,200,30.634596
-130.0,200,30.762322
-106.0,200,30.892424
-30.0,200,31.01402
-104.0,200,31.132805
-108.0,200,31.254924
-90.0,200,31.375106
-109.0,200,31.492275
-78.0,200,31.611434
-91.0,200,31.734784
-95.0,200,31.857021
-99.0,200,31.986633
-80.0,200,32.119986
-99.0,200,32.265012
-55.0,200,32.396175
-98.0,200,32.522576
-127.0,200,32.652264
-106.0,200,32.791657
-103.0,200,32.916993
-120.0,200,33.044247
-130.0,200,33.171391
-111.0,200,33.300163
-89.0,200,33.419314
-96.0,200,33.537329
-114.0,200,33.654919
-129.0,200,33.779385
-98.0,200,33.902617
51.58,42,33.928818
-87.0,200,34.053986
-116.0,200,34.182021
-77.0,200,34.301245
-106.0,200,34.419837
-77.0,200,34.53792
-77.0,200,34.663484
-93.0,200,34.780944
-16.0,200,34.900063
-103.0,200,35.025576
-89.0,200,35.159862
-82.0,200,35.294412
-78.0,200,35.429659
-99.0,200,35.568507
-137.0,200,35.701528
-105.0,200,35.820039
-91.0,200,35.938589
-107.0,200,36.0595
-101.0,200,36.192819
-95.0,200,36.314617
-98.0,200,36.433886
-90.0,200,36.554237
-93.0,200,36.67536
-136.0,200,36.798551
-115.0,200,36.923192
-94.0,200,37.061955
-78.0,200,37.197764
-101.0,200,37.321589
-120.0,200,37.4439
-102.0,200,37.572981
-5.19,119,37.658317
-112.0,200,37.795352
-111.0,200,37.92369
-98.0,200,38.060485
-79.0,200,38.200752
-56.0,200,38.335924
-55.0,200,38.473485
-97.0,200,38.605353
-109.0,200,38.747483
-97.0,200,38.881157
-83.0,200,39.012866
-109.0,200,39.150461
-107.0,200,39.288164
-76.0,200,39.422045
-69.0,200,39.555354
-79.0,200,39.689872
-83.0,200,39.827628
-95.0,200,39.957523
-99.0,200,40.098466
-91.0,200,40.239343
0.6,140,40.33756
-54.0,200,40.467069
-91.0,200,40.600279
-70.0,200,40.7319
-87.0,200,40.866802
-85.0,200,40.997049
-86.0,200,41.130851
-92.0,200,41.249636
-96.0,200,41.383272
-96.0,200,41.526141
-84.0,200,41.660593
-97.0,200,41.796823
-91.0,200,41.940696
-121.0,200,42.068295
-95.0,200,42.19538
-93.0,200,42.334688
-78.0,200,42.476463
-103.0,200,42.616432
-118.0,200,42.754888
-78.0,200,42.886447
-13.3,130,42.973317
-90.0,200,43.110508
-87.0,200,43.243412
-125.0,200,43.375435
-95.0,200,43.514705
-72.0,200,43.650856
-92.0,200,43.782823
-20.0,200,43.916276
-79.0,200,44.055569
-97.0,200,44.191565
-90.0,200,44.326936
-114.0,200,44.459508
-58.0,200,44.591122
-85.0,200,44.721933
-15.62,162,44.830539
-73.0,200,44.964266
-82.0,200,45.104343
-100.0,200,45.228873
-107.0,200,45.364183
-113.0,200,45.505956
-75.0,200,45.639809
-91.0,200,45.779097
-113.0,200,45.907142
-73.0,200,46.023916
-94.0,200,46.148271
-107.0,200,46.267234
-95.0,200,46.398281
-84.0,200,46.536944
-105.0,200,46.670626
-105.0,200,46.806001
-105.0,200,46.941289
-84.0,200,47.071203
-97.0,200,47.215578
-85.0,200,47.354126
-87.0,200,47.494489
-94.0,200,47.637496
-98.0,200,47.772595
-91.0,200,47.90561
-86.0,200,48.040087
-36.0,200,48.176608
-109.0,200,48.318637
-106.0,200,48.458151
-75.0,200,48.595876
-57.0,200,48.739488
-99.0,200,48.882252
-93.0,200,49.021047
-101.0,200,49.158375
-94.0,200,49.287313
-66.0,200,49.426024
-106.0,200,49.556947
-76.0,200,49.677822
-88.0,200,49.938687
-100.0,200,50.06992
-82.0,200,50.19703
-101.0,200,50.324146
-103.0,200,50.461793
-121.0,200,50.590946
-76.0,200,50.719189
-82.0,200,50.849861
-109.0,200,50.975147
-94.0,200,51.116881
-96.0,200,51.253097
-102.0,200,51.384303
-101.0,200,51.521755
-103.0,200,51.658606
-100.0,200,51.796135
-94.0,200,51.930389
-73.0,200,52.070151
-70.0,200,52.211801
-99.0,200,52.348481
-82.0,200,52.486649
-98.0,200,52.623437
-51.0,200,52.763291
-51.0,200,52.901854
-97.0,200,53.039138
-103.0,200,53.179856
-97.0,200,53.321624
-76.0,200,53.459828
-84.0,200,53.592536
-100.0,200,53.723818
-83.0,200,53.861152
9.66,134,53.950048
-90.0,200,54.088022
-103.0,200,54.219774
-76.0,200,54.363124
-96.0,200,54.502126
-84.0,200,54.642073
-94.0,200,54.776465
-114.0,200,54.909885
-112.0,200,55.043208
-105.0,200,55.178202
-103.0,200,55.313798
-67.0,200,55.455049
-75.0,200,55.593261
-69.0,200,55.729265
-69.0,200,55.868969
-86.0,200,55.995066
-87.0,200,56.116071
-84.0,200,56.255835
-80.0,200,56.403643
-60.0,200,56.549344
-113.0,200,56.683028
-95.0,200,56.814749
-78.0,200,56.952672
-81.0,200,57.092567
-108.0,200,57.230051
42.38,62,57.272121
-94.0,200,57.410604
-115.0,200,57.552208
-107.0,200,57.692554
-91.0,200,57.832352
-91.0,200,57.959682
-27.0,200,58.101071
-75.0,200,58.232979
-103.0,200,58.372054
-85.0,200,58.514432
35.24,76,58.569995
-94.0,200,58.711137
-88.0,200,58.845012
-88.0,200,58.967858
-79.0,200,59.108276
-106.0,200,59.250174
-74.0,200,59.387969
-49.0,200,59.52385
-75.0,200,59.668472
-114.0,200,59.807642
-78.0,200,59.931867
-95.0,200,60.058067
-79.0,200,60.199709
-101.0,200,60.339817
-89.0,200,60.480863
-83.0,200,60.625396
-97.0,200,60.778185
-78.0,200,60.913702
-88.0,200,61.046007
-90.0,200,61.179504
-101.0,200,61.321244
-126.0,200,61.459538
-101.0,200,61.599555
-79.0,200,61.739981
-104.0,200,61.88002
-85.0,200,61.999611
-9.0,200,62.137782
-90.0,200,62.278942
-92.0,200,62.422862
-53.0,200,62.564369
-78.0,200,62.706515
-72.0,200,62.84781
-72.0,200,62.982581
23.98,102,63.04832
-57.0,200,63.185913
-91.0,200,63.326071
-90.0,200,63.465161
-13.0,200,63.601587
-69.0,200,63.743964
-81.0,200,63.876827
-64.0,200,64.015792
-82.0,200,64.159723
-82.0,200,64.296519
-72.0,200,64.441376
-82.0,200,64.586998
-68.0,200,64.722695
-93.0,200,64.863972
-92.0,200,65.005431
-72.0,200,65.13639
-84.0,200,65.262173
-99.0,200,65.400955
-98.0,200,65.541688
-13.0,200,65.687598
-90.0,200,65.824517
-100.0,200,65.952975
-101.0,200,66.080555
-80.0,200,66.223967
-113.0,200,66.363926
-100.0,200,66.503766
-100.0,200,66.646493
-73.0,200,66.792581
-85.0,200,66.919983
11.91,109,66.985788
-69.0,200,67.109264
-72.0,200,67.242298
-100.0,200,67.362594
-74.0,200,67.49238
-90.0,200,67.631063
-64.0,200,67.775404
-2.9,190,67.902211
-82.0,200,68.022829
-87.0,200,68.155404
-81.0,200,68.300893
-82.0,200,68.441224
-80.0,200,68.580078
-102.0,200,68.719399
-68.0,200,68.864063
-74.0,200,68.99249
-124.0,200,69.129172
-82.0,200,69.269871
-102.0,200,69.411282
-105.0,200,69.552977
-80.0,200,69.693078
-74.0,200,69.833722
-93.0,200,69.975391
-99.0,200,70.106203
-18.0,200,70.245512
-99.0,200,70.385778
-95.0,200,70.630912
-78.0,200,70.786791
-93.0,200,70.914591
-110.0,200,71.05751
-86.0,200,71.202373
-89.0,200,71.342827
-91.0,200,71.482799
-79.0,200,71.624337
-105.0,200,71.763168
-89.0,200,71.892934
-99.0,200,72.014338
-84.0,200,72.133383
-35.92,192,72.274034
-102.0,200,72.412979
-87.0,200,72.556236
-63.0,200,72.69327
-29.0,200,72.838793
-69.0,200,72.967602
-106.0,200,73.107789
-88.0,200,73.250886
-57.0,200,73.392493
-91.0,200,73.533035
-71.0,200,73.666302
-76.0,200,73.807473
-68.0,200,73.948197
-81.0,200,74.089046
-10.0,200,74.231781
-66.0,200,74.374384
-77.0,200,74.515637
-34.0,200,74.655138
-67.0,200,74.796831
-86.0,200,74.927661
-97.0,200,75.07444
-74.0,200,75.205599
-92.0,200,75.340927
32.12,88,75.403836
-99.0,200,75.554462
-110.0,200,75.682521
-103.0,200,75.826761
-68.0,200,75.951224
-88.0,200,76.084912
-93.0,200,76.207357
-67.0,200,76.33248
-60.0,200,76.455412
43.21,79,76.508826
-84.0,200,76.630734
