#{"t_start": 1773695409.81789, "env_id": "None"}
r,l,t
-206.0,200,1.846453
-172.99,200,1.944766
-209.0,200,2.066497
-186.0,200,2.169706
-214.0,200,2.270319
-212.0,200,2.370947
-196.99,200,2.467583
-190.0,200,2.568338
-176.98,200,2.66792
-218.99,200,2.769817
-249.0,200,2.87133
-216.0,200,2.976091
-155.99,200,3.102674
-219.99,200,3.215711
-211.0,200,3.322424
-219.99,200,3.431078
-14.97,99,3.483804
13.48,54,3.520003
-214.0,200,3.641574
-189.0,200,3.754892
-230.0,200,3.864741
-178.0,200,3.977974
-195.99,200,4.086083
-191.0,200,4.199957
-212.99,200,4.3344
-151.0,200,4.450467
-169.0,200,4.562302
-193.0,200,4.671447
-41.16,118,4.737064
-242.99,200,4.848663
-198.98,200,4.962249
-255.0,200,5.076219
-249.0,200,5.189407
-237.99,200,5.303446
-220.0,200,5.415864
-159.98,200,5.532065
-213.99,200,5.647884
-122.0,200,5.766679
-13.9,92,5.821217
-225.99,200,5.939593
-298.0,200,6.056356
-259.0,200,6.1722
-184.0,200,6.292904
-276.0,200,6.406628
-232.99,200,6.525137
-268.0,200,6.643189
-122.99,200,6.763
-352.0,200,6.88097
-247.99,200,7.009488
-152.0,200,7.130473
-287.98,200,7.254028
-323.99,200,7.376063
-165.0,200,7.498601
-230.0,200,7.624628
-184.0,200,7.747758
-182.0,200,7.87024
-157.0,200,7.993997
-260.0,200,8.118623
-330.0,200,8.243024
-204.0,200,8.38268
-334.0,200,8.514429
-166.99,200,8.642992
-207.0,200,8.775915
-331.99,200,8.921079
-281.99,200,9.050424
-276.99,200,9.177241
-200.0,200,9.310218
-324.0,200,9.436758
-411.0,200,9.566161
-285.0,200,9.701601
-246.99,200,9.83454
-283.0,200,9.966004
-126.0,200,10.097609
-278.0,200,10.228265
-116.0,200,10.360015
-190.0,200,10.493306
-350.0,200,10.628095
-202.0,200,10.761923
-196.0,200,10.896695
-147.0,200,11.031727
-198.0,200,11.163607
-219.0,200,11.29682
-195.0,200,11.434058
-194.99,200,11.71838
-190.0,200,11.850114
-221.99,200,11.982863
-173.0,200,12.116724
-204.0,200,12.253304
-309.0,200,12.386929
-149.0,200,12.523644
-389.0,200,12.65853
-134.0,200,12.789778
-108.0,200,12.922307
-154.0,200,13.055478
-570.0,200,13.1913
-368.0,200,13.335286
-206.0,200,13.47447
-156.99,200,13.615872
-311.0,200,13.762297
-281.0,200,13.896223
-199.0,200,14.032799
-201.0,200,14.168195
-348.0,200,14.302015
-157.99,200,14.436177
-104.0,200,14.568693
-106.0,200,14.700762
-352.0,200,14.834677
-202.0,200,14.97119
-179.0,200,15.106254
-136.0,200,15.240573
-247.0,200,15.373495
-135.0,200,15.508005
-145.0,200,15.646456
-547.0,200,15.783778
-204.0,200,15.91746
-133.0,200,16.059335
-98.0,200,16.193944
-106.0,200,16.329886
-337.0,200,16.466116
-160.0,200,16.605604
-99.0,200,16.740877
-331.0,200,16.876997
-206.0,200,17.015418
-395.0,200,17.152463
-116.99,200,17.288381
-173.0,200,17.424966
-315.0,200,17.558803
-344.0,200,17.693129
-243.0,200,17.847239
-222.0,200,17.992721
-144.99,200,18.128059
-228.0,200,18.267654
-197.0,200,18.403711
-166.0,200,18.545102
-170.0,200,18.683442
-242.0,200,18.822406
-200.0,200,18.963968
-119.0,200,19.104682
-258.0,200,19.244789
-416.0,200,19.383173
-197.0,200,19.522325
-110.0,200,19.656954
-435.99,200,19.798133
-294.0,200,19.939457
-107.0,200,20.083224
-194.0,200,20.228678
-128.0,200,20.372354
-123.0,200,20.515281
-201.0,200,20.655149
-198.0,200,20.79239
-290.0,200,20.933642
-274.0,200,21.076076
-213.0,200,21.220858
-570.0,200,21.363614
-187.0,200,21.505051
-191.0,200,21.647793
-212.0,200,21.788886
-561.0,200,21.927981
-391.0,200,22.067485
-223.0,200,22.205933
-197.0,200,22.345997
-366.0,200,22.482426
-104.0,200,22.623214
-167.0,200,22.809358
-171.0,200,22.967491
-447.99,200,23.111818
-194.0,200,23.256891
-158.0,200,23.395616
-262.99,200,23.534101
-107.0,200,23.673202
-110.0,200,23.81232
-200.0,200,23.950837
-197.0,200,24.095563
-208.0,200,24.235767
-201.0,200,24.378001
-131.0,200,24.522335
-180.0,200,24.661005
-256.0,200,24.800691
-273.0,200,24.937601
-149.0,200,25.078367
-117.0,200,25.222112
-194.0,200,25.357593
-181.99,200,25.499886
-195.0,200,25.640235
-407.0,200,25.781572
-206.0,200,25.921354
-206.0,200,26.063997
-366.0,200,26.206139
-201.0,200,26.344716
-138.0,200,26.47961
-257.0,200,26.618568
-199.0,200,26.760049
-201.0,200,26.902413
-200.0,200,27.04404
-573.0,200,27.185148
-257.0,200,27.344288
-178.0,200,27.494212
